time,cargo x,cargo y,cargo z,cargo alpha,cargo beta,cargo gamma,phi1,phi2,phi3,phi4,current1,current2,current3,current4,r1 x,r1 y,r1 z,r2 x,r2 y,r2 z,r3 x,r3 y,r3 z,r4 x,r4 y,r4 z
1217,-0.139243186,-0.398286313,0.073647618,0.000455635,0.00115176,0.485310227,5.762253264,2.539684962,3.945717295,5.5128835,0.553061252,0.543229312,0.614994087,0.484220649,0.511412382,0.564769864,1.020939946,-0.450978547,-1.36956358,-0.365174651,-0.835393071,-1.163692594,0.957193851,0.892866254,-2.370830297,-2.287195444
1218,-0.136946633,-0.397962928,0.073772877,0.000587167,0.001151057,0.485489756,5.814080806,2.579684962,3.985717295,5.562340683,0.551206341,0.541079659,0.6135196,0.486217096,0.511354625,0.564706862,1.020497084,-0.446548462,-1.366152763,-0.362285852,-0.835150599,-1.163496614,0.957192838,0.893842399,-2.368933916,-2.2871418
1219,-0.135613933,-0.397779763,0.07365685,0.000809478,0.001170158,0.485396922,5.865257325,2.619684962,4.025717295,5.611918985,0.550050963,0.538165415,0.610968653,0.486964788,0.511305928,0.564647973,1.018776536,-0.445516437,-1.362602353,-0.359234333,-0.834797084,-1.163173199,0.957187831,0.887028992,-2.367016315,-2.287147999
1220,-0.134441033,-0.39759776,0.073651351,0.001025736,0.001226633,0.484971315,5.915805283,2.659684962,4.065717295,5.661612527,0.548951308,0.537456421,0.608543381,0.487280367,0.511262298,0.564594626,1.018646479,-0.441573709,-1.359233379,-0.356280595,-0.834314167,-1.162716627,0.957182884,0.877987385,-2.365620613,-2.287101984
1221,-0.133096531,-0.397356272,0.073694713,0.001160516,0.001251214,0.484344184,5.965776813,2.699684962,4.105717295,5.711416418,0.54764851,0.537667129,0.606362234,0.487525708,0.511222422,0.564548135,1.018774748,-0.43310526,-1.355876684,-0.3533068,-0.833694458,-1.162118673,0.957179606,0.876722455,-2.364226103,-2.28699708
1222,-0.131016061,-0.397037804,0.073826969,0.001160124,0.001147789,0.483685821,6.015251882,2.739684962,4.145717295,5.761327359,0.545784358,0.540684509,0.605376881,0.488286294,0.511187375,0.564510107,1.022665977,-0.426567644,-1.352948904,-0.350724965,-0.832925618,-1.161372542,0.957179129,0.874728978,-2.363096714,-2.286793947
1223,-0.128895968,-0.396829128,0.073837109,0.00120805,0.001072834,0.483144194,6.064332949,2.779684962,4.185717295,5.811344502,0.543996667,0.538320783,0.604604491,0.488865591,0.511162162,0.564478934,1.022114277,-0.425847471,-1.350228071,-0.348263085,-0.831999242,-1.160462141,0.957177341,0.870779693,-2.362230062,-2.286486149
1224,-0.127600104,-0.396770447,0.073758662,0.001346902,0.001119087,0.482690126,6.113137776,2.819684962,4.225717295,5.861468478,0.542912627,0.536543742,0.603082924,0.488453929,0.511143088,0.564454854,1.020797968,-0.421323746,-1.347573042,-0.345855862,-0.830907583,-1.159385085,0.957174659,0.871725619,-2.361183405,-2.286083221
1225,-0.126152828,-0.396710485,0.073796585,0.001381337,0.001146089,0.482315391,6.161800048,2.859684962,4.265717295,5.911701702,0.541754383,0.538197651,0.60204415,0.488073295,0.511127234,0.564437687,1.02287364,-0.416410804,-1.345231414,-0.343706489,-0.829678357,-1.158164859,0.95717454,0.870476365,-2.360606909,-2.285596848
1226,-0.123970538,-0.396670282,0.074025117,0.001449901,0.001359913,0.482133061,6.210466213,2.899684962,4.305717295,5.962049403,0.540168681,0.540788801,0.602000806,0.488329597,0.511118412,0.564424932,1.026402593,-0.410241097,-1.34311223,-0.341761887,-0.828312993,-1.15680325,0.957173049,0.869144201,-2.360069036,-2.284963131
1227,-0.121875711,-0.396735996,0.073942065,0.001185199,0.001305106,0.482476056,6.259288882,2.939684962,4.345717295,6.012518478,0.538773502,0.539300765,0.601999712,0.488461985,0.511113763,0.564422846,1.025641322,-0.404008031,-1.341303468,-0.340099245,-0.826791823,-1.155285597,0.957175374,0.872824132,-2.359660864,-2.284220695
1228,-0.120590568,-0.396938562,0.07384403,0.001312794,0.001255529,0.482994646,0.025240776,2.979684962,4.385717295,6.063116138,0.538150507,0.537116811,0.601190847,0.487643664,0.511115015,0.5644238,1.024671078,-0.403308719,-1.339518785,-0.338472456,-0.825125396,-1.153620362,0.957175732,0.869457543,-2.359152317,-2.283294678
1229,-0.119392112,-0.397136092,0.073850274,0.0013714,0.001295178,0.483492196,0.074859836,3.019684962,4.425717295,6.113852276,0.537585635,0.537029643,0.600579642,0.486666693,0.511122644,0.564431012,1.025454879,-0.401706666,-1.337953568,-0.337046474,-0.823368549,-1.151849985,0.957174957,0.862645209,-2.358795643,-2.282220602
1230,-0.118027523,-0.39734304,0.073921807,0.001378919,0.00137487,0.484155893,0.125134111,3.059684962,4.465717295,6.164739521,0.536966708,0.535470411,0.600405365,0.485911094,0.511139095,0.564454734,1.024483442,-0.398421347,-1.336649418,-0.335860461,-0.821576774,-1.150054574,0.957177043,0.860139132,-2.358487368,-2.281138897
1231,-0.116915852,-0.397583306,0.073895164,0.001327321,0.001332405,0.484940827,0.176243186,3.099684962,4.505717295,6.215790126,0.536582571,0.534443343,0.600143211,0.484708126,0.511169136,0.564494312,1.02456522,-0.397694498,-1.335550427,-0.334838837,-0.819601059,-1.148051023,0.957178473,0.85477376,-2.358460188,-2.279912233
1232,-0.115799174,-0.397837579,0.073904634,0.001252756,0.001315014,0.485872746,0.228373366,3.139684962,4.545717295,6.267019567,0.536259411,0.533289189,0.600132966,0.483709988,0.511211038,0.564552128,1.024114728,-0.395585924,-1.334692836,-0.33406803,-0.817725658,-1.146148562,0.957181573,0.853587925,-2.358330727,-2.278707981
1233,-0.114791937,-0.398113042,0.073884472,0.001152694,0.001258896,0.486944973,0.281718623,3.179684962,4.585717295,0.03525728,0.536075132,0.53185422,0.600237196,0.482510628,0.511265755,0.564626515,1.023763776,-0.395276159,-1.33407414,-0.333513051,-0.815720081,-1.144088984,0.957185984,0.852463424,-2.358264923,-2.277384281
1234,-0.113899738,-0.398395121,0.073856138,0.001061749,0.001172186,0.488092273,0.336480737,3.219684962,4.625717295,0.086889733,0.536016446,0.530461195,0.600515882,0.481348168,0.511331975,0.56471771,1.023211479,-0.394350886,-1.333741903,-0.333230257,-0.813792527,-1.14212358,0.957192421,0.854771793,-2.358246326,-2.276190519
1235,-0.113099545,-0.398667127,0.073832266,0.000975787,0.001067983,0.489292949,0.392868235,3.259684962,4.665717295,0.138747177,0.536050616,0.528959181,0.600939484,0.480258229,0.511409223,0.564825654,1.022493005,-0.393614829,-1.333634019,-0.333166629,-0.811969459,-1.140255094,0.957202017,0.85797894,-2.358232498,-2.274987459
1236,-0.112402603,-0.398896605,0.073850103,0.000951156,0.001047278,0.490465999,0.451093635,3.299684962,4.705717295,0.190843755,0.536152127,0.527642557,0.601340356,0.479242373,0.511499524,0.564954042,1.02178514,-0.392173499,-1.33357048,-0.33313781,-0.810254395,-1.13849926,0.957226634,0.862280071,-2.35824275,-2.273712397
1237,-0.111807369,-0.399075657,0.073869064,0.000941048,0.001027748,0.491604507,0.511093635,3.339684962,4.745717295,0.243192273,0.536321516,0.526338761,0.601653443,0.478459564,0.511606991,0.565119624,1.021141648,-0.391858906,-1.333506823,-0.333112329,-0.808799922,-1.137031436,0.957293808,0.868353188,-2.358256817,-2.272571802
1238,-0.111292236,-0.399208307,0.073878132,0.000927747,0.000996227,0.49268952,0.571093635,3.379684962,4.785717295,0.295802815,0.536583845,0.525312139,0.601898317,0.478004073,0.51176852,0.565353453,1.020484805,-0.390322864,-1.333442926,-0.333085567,-0.80767256,-1.135898948,0.957357109,0.876153231,-2.358273268,-2.271511555
1239,-0.110890776,-0.399278194,0.073866844,0.00092015,0.00092766,0.493648648,0.631093635,3.419684962,4.825717295,0.348680105,0.537065754,0.524490012,0.602047854,0.477823447,0.512063265,0.565755963,1.020056486,-0.389523089,-1.333378315,-0.333058804,-0.806873977,-1.135129571,0.957381725,0.883107662,-2.358289719,-2.270655632
1240,-0.110551283,-0.399275541,0.073833011,0.000883851,0.000829957,0.4944821,0.691093635,3.459684962,4.865717295,0.401824384,0.537724936,0.524003301,0.60215386,0.478116628,0.512491226,0.56634593,1.019533873,-0.38740778,-1.333312631,-0.333033234,-0.806534529,-1.134833813,0.957366884,0.894136906,-2.35830617,-2.270205498
